names	lfc	padj
STMN2	5.7110257	2.4865976665908139e-147
RTN1	4.2798314	9.219666224939366e-146
PCSK1N	4.1522937	5.1447661398968194e-182
NNAT	4.0887127	1.159428190234845e-116
GNG3	4.088621	3.176214786030133e-194
GAP43	4.0722547	8.784096200793175e-149
MAPT-AS1	3.8577697	1.5790492199035244e-178
KIF5C	3.7996013	5.9892558947942e-178
NRN1	3.783382	2.032653976339335e-155
RP11-379L18.3	3.7658207	9.378786931698232e-207
TTC9B	3.6658142	3.0462560067698483e-176
NKX1-1	3.609923	8.11831525185993e-187
RP11-356K23.1	3.508022	1.5809693413767243e-130
MAB21L1	3.4948587	5.158432591469658e-149
RP5-1177M21.1	3.4765418	6.88648085555692e-185
CTD-3064C13.1	3.4537113	8.206059851930101e-195
TCERG1L	3.446017	2.58280379746045e-140
LAMB3	3.4080796	1.13407036965824e-189
INA	3.4073756	1.2892855191073755e-154
TUBB2A	3.3649085	3.8170306103640386e-147
LHX5-AS1	3.3453887	9.085632546309672e-150
NEFL	3.3405192	3.727369575548201e-121
MLLT11	3.334431	1.0390645155250003e-190
FRMPD2	3.3259444	6.1341590562201035e-164
FXYD7	3.3241432	4.1670559063253206e-177
TCEAL6	3.2931964	2.546960515684468e-133
TRBC2	3.2799582	2.578183395760206e-112
COX7A1	3.2776587	2.5458000674772684e-190
NEFM	3.2720532	2.376075179193102e-109
TINAG	3.2107825	5.7755289588820164e-167
LINC01330	3.1224618	1.4760518637498517e-80
CAMK2N2	3.1195118	7.755035190812788e-179
XXbac-BPG299F13.17	3.1112492	5.3190910115370905e-185
CNTNAP4	3.1030285	1.3651653888569761e-135
RIT2	3.0967646	2.2612290913594737e-163
RP4-665J23.1	3.0942364	3.6108221223072004e-163
DNASE2B	3.083706	1.0860593839954674e-154
RP11-308D13.3	3.0502508	1.5125919542527877e-163
CAMK2N1	3.0323234	1.918687024599396e-150
LA16c-312E8.2	3.0281017	3.3340058425974715e-194
AHSP	3.0228415	1.1897441303145482e-210
NAALADL2-AS2	3.0137966	1.2153152516107699e-197
HMP19	3.008139	3.208767908082307e-154
EEF1A2	2.993537	6.92528763445125e-169
ARHGDIG	2.9598894	3.0523362400295645e-174
TUBA1A	2.959302	1.4528246382176995e-163
SCG3	2.9430788	1.36595937671422e-128
RP11-61E11.2	2.9236658	3.091364704041897e-156
PCSK1	2.9050424	1.6405588514563127e-160
RP11-60L3.6	2.899377	3.018939070572461e-156
PCSK2	2.8787699	1.0273992690180874e-141
